run_id,dataset,method,chunk_size,max_queries,n_docs,n_queries,time_seconds,MRR,Recall@1,Recall@5,Recall@10,Recall@100,NDCG@1,NDCG@5,NDCG@10,NDCG@100,batch_size,config_elapsed_seconds,device
20260406_235803,scifact,dense,chunk_512,200,5233,200,4.771,0.6107268794533226,0.48208333333333336,0.7236666666666666,0.7868333333333334,0.9325,0.5,0.625673332419291,0.6478186029296483,0.679984355658002,128,5.526,cuda
20260406_235803,scifact,sparse,chunk_512,200,5233,200,4.001,0.6542335619154039,0.5279166666666666,0.741,0.8001666666666667,0.9095833333333333,0.555,0.6573565316240054,0.6781070532225186,0.7043807943278053,,4.039,cpu
20260406_235803,scifact,hybrid,chunk_512,200,5233,200,11.071,0.6770866431884879,0.5455833333333333,0.7761666666666668,0.8210833333333334,0.9715,0.57,0.6873127606972373,0.7029011746470338,0.7365925760753292,128,11.834,cuda
20260406_235803,arguana,dense,original,200,8674,200,6.312,0.23537436205783244,0.0,0.52,0.725,0.965,0.0,0.2753832791011802,0.3420041826782226,0.39772940760895936,128,6.989,cuda
20260406_235803,arguana,sparse,original,200,8674,200,97.406,0.17554697148826962,0.0,0.38,0.565,0.805,0.0,0.1988277574161204,0.2593271632129822,0.3113998403448087,,97.437,cpu
20260406_235803,arguana,hybrid,original,200,8674,200,105.28,0.20940544641476463,0.0,0.445,0.62,0.965,0.0,0.23704718570822703,0.2946933187869236,0.3719895535428581,128,105.996,cuda
20260406_235803,arguana,dense,chunk_128,200,15651,200,8.04,0.18504580018298505,0.005,0.3258333333333333,0.54125,0.9408333333333333,0.005,0.1771831470731181,0.25169254492304066,0.3493272443159335,128,8.71,cuda
20260406_235803,arguana,sparse,chunk_128,200,15651,200,190.574,0.16980340563529756,0.0,0.31333333333333335,0.45958333333333323,0.7489166666666667,0.0,0.16489261849408268,0.2174926090376601,0.28798023757901087,,190.61,cpu
20260406_235803,arguana,hybrid,chunk_128,200,15651,200,201.834,0.1913867527028437,0.0,0.35,0.5304166666666666,0.9318333333333332,0.0,0.18716624862734257,0.25048199706071084,0.34546764284454556,128,202.556,cuda
20260406_235803,arguana,dense,chunk_256,200,9885,200,7.267,0.22097771001737812,0.0,0.47,0.6625,0.9591666666666667,0.0,0.24918380412809987,0.3133975462032536,0.38345621676805786,128,8.163,cuda
20260406_235803,arguana,sparse,chunk_256,200,9885,200,136.344,0.1748633359271121,0.0,0.37,0.5575,0.8158333333333333,0.0,0.19232142728050833,0.25432976336700597,0.3114740848001465,,136.377,cpu
20260406_235803,arguana,hybrid,chunk_256,200,9885,200,128.902,0.20421619510600472,0.0,0.44,0.615,0.9608333333333333,0.0,0.23067795583612738,0.2881619035216332,0.36588928729770437,128,129.654,cuda
20260406_235803,arguana,dense,chunk_512,200,8744,200,6.573,0.21959926489348217,0.0,0.485,0.69,0.955,0.0,0.2521360951365669,0.3202318461817511,0.38241448630451025,128,7.415,cuda
20260406_235803,arguana,sparse,chunk_512,200,8744,200,126.514,0.1766237267804765,0.0,0.3725,0.5725,0.7975,0.0,0.19561806759520295,0.2616225609933682,0.3118262576737656,,126.565,cpu
20260406_235803,arguana,hybrid,chunk_512,200,8744,200,105.091,0.20557324062906215,0.0,0.445,0.645,0.9625,0.0,0.23364373591877632,0.29920871309329256,0.36835009461282797,128,105.77,cuda
20260406_235803,dbpedia-entity,dense,original,200,4635922,200,1946.854,0.736884130747873,0.006959735296117515,0.026750487513224095,0.0458689384404696,0.1689714014139702,0.29333333333333356,0.2503215738717283,0.24445560851790377,0.2902273058916171,128,1948.26,cuda
20260406_235803,dbpedia-entity,sparse,original,200,4635922,200,2172.284,0.7994833019924968,0.0082411351359243,0.03465817827517471,0.05947035370455677,0.21926100182961286,0.22333333333333333,0.1917742814040261,0.19149967175076565,0.23480884086853737,,2177.024,cpu
20260406_235803,dbpedia-entity,hybrid,original,200,4635922,200,4228.439,0.8285072214292416,0.008281397726745859,0.03428109076437787,0.059096981749787406,0.24370416060368633,0.2950000000000002,0.25940332180709363,0.25753795698374304,0.3215932023043463,128,4234.473,cuda
20260406_235803,dbpedia-entity,dense,chunk_128,200,4649872,200,2033.443,0.7526020755227466,0.007164662616444309,0.027776281361690292,0.046514827564715595,0.1662630037446958,0.3133333333333336,0.260460154365836,0.2529630429246896,0.29288578889478717,128,2034.561,cuda
20260406_235803,dbpedia-entity,sparse,chunk_128,200,4649872,200,2202.265,0.8120513396891469,0.008117229237530348,0.03554412067341652,0.060394924398153055,0.2169707580242348,0.22666666666666668,0.2048404891382086,0.19655541302844298,0.23882108474896732,,2207.547,cpu
20260406_235803,dbpedia-entity,hybrid,chunk_128,200,4649872,200,4360.159,0.8251064139349025,0.008217345671348046,0.03517775585924102,0.05954947654858715,0.24199337424748893,0.30333333333333357,0.2668372371841926,0.26166926558874337,0.3227383953448363,128,4366.591,cuda
20260406_235803,dbpedia-entity,dense,chunk_256,200,4637375,200,2013.172,0.7537369199428023,0.007195746552725753,0.027901863470102848,0.046735062400870594,0.1674088437845403,0.3133333333333336,0.2607015737325596,0.2534173439177435,0.2935890245127261,128,2014.34,cuda
20260406_235803,dbpedia-entity,sparse,chunk_256,200,4637375,200,2204.815,0.8120513396891469,0.008155866182446053,0.035674484333913306,0.060716068057895534,0.21791698677252203,0.22666666666666668,0.20461946555625915,0.1961268006817139,0.23883120328696017,,2210.135,cpu
20260406_235803,dbpedia-entity,hybrid,chunk_256,200,4637375,200,4354.485,0.8259663253413255,0.008253759526189258,0.03545210757556639,0.05984061659848892,0.24280053117438302,0.30333333333333357,0.267393544004944,0.2617494027011448,0.32286369858705044,128,4360.401,cuda
20260406_235803,dbpedia-entity,dense,chunk_512,200,4636181,200,2035.982,0.7537369199428023,0.0071988442464181925,0.027961805537051944,0.04679655432587551,0.16750496119011588,0.3133333333333336,0.26092024886174686,0.2537706024687927,0.2936495006733865,128,2037.181,cuda
20260406_235803,dbpedia-entity,sparse,chunk_512,200,4636181,200,2139.933,0.8128846730224802,0.008161289973127029,0.03572206696808158,0.06080102259921891,0.21819849277445447,0.22833333333333336,0.2052095046855991,0.19664125166632332,0.23899761701300662,,2144.868,cpu
20260406_235803,dbpedia-entity,hybrid,chunk_512,200,4636181,200,4395.948,0.8255951132201134,0.008258263087736964,0.03534976360275548,0.05992548809424287,0.24300754886937462,0.30333333333333357,0.26717486887575675,0.26189547172440064,0.32292696760597644,128,4401.921,cuda
