dataset,method,chunk_size,max_queries,MRR_A,Recall@1_A,Recall@5_A,Recall@10_A,Recall@100_A,NDCG@1_A,NDCG@5_A,NDCG@10_A,NDCG@100_A,MRR_B,Recall@1_B,Recall@5_B,Recall@10_B,Recall@100_B,NDCG@1_B,NDCG@5_B,NDCG@10_B,NDCG@100_B,delta_MRR,delta_Recall@1,delta_Recall@5,delta_Recall@10,delta_Recall@100,delta_NDCG@1,delta_NDCG@5,delta_NDCG@10,delta_NDCG@100,time_seconds_A,time_seconds_B
fiqa,hybrid,original,200,0.3783924094222259,0.13532936507936508,0.28587896825396825,0.36943253968253975,0.6757738095238094,0.295,0.2737227217010901,0.300801304746744,0.3848493257561072,0.3783924094222259,0.13532936507936508,0.28587896825396825,0.36943253968253975,0.6757738095238094,0.295,0.2737227217010901,0.300801304746744,0.3848493257561072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.899,99.765
fiqa,sparse,chunk_128,200,0.24346764876692328,0.054849673202614364,0.10773558304440656,0.13856417316343786,0.2782527488851019,0.185,0.13242346534375757,0.13746734800899615,0.18020213560028903,0.24346694848681127,0.054849673202614364,0.10773558304440656,0.13856417316343786,0.2782527488851019,0.185,0.13242346534375757,0.13746734800899615,0.18020151575915866,7.002801120092883e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.198411303670603e-07,65.869,83.109
fiqa,sparse,chunk_256,200,0.26568030089756056,0.08430952380952378,0.15546031746031744,0.19778968253968254,0.3483534659784659,0.21,0.16391735045073486,0.17661351189695126,0.21787608247911727,0.26568030089756056,0.08430952380952378,0.15546031746031744,0.19778968253968254,0.3483534659784659,0.21,0.16391735045073486,0.17661351189695126,0.21787608247911727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.454,70.736
fiqa,sparse,chunk_512,200,0.2608586157804958,0.08461080586080584,0.1918925518925519,0.24113461538461536,0.40961500999001,0.195,0.17859671260814788,0.19407821622057658,0.23685994598889137,0.2608586157804958,0.08461080586080584,0.1918925518925519,0.24113461538461536,0.40961500999001,0.195,0.17859671260814788,0.19407821622057658,0.23685994598889137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.924,81.332
fiqa,sparse,original,200,0.2614708667169311,0.08751190476190475,0.193015873015873,0.24231944444444445,0.42125793650793647,0.195,0.18030538796700232,0.19604474785377676,0.24118008343477937,0.2614708667169311,0.08751190476190475,0.193015873015873,0.24231944444444445,0.42125793650793647,0.195,0.18030538796700232,0.19604474785377676,0.24118008343477937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.605,62.603
nfcorpus,dense,chunk_128,200,0.5390568769880406,0.02266860116380528,0.08267867763385191,0.11623918624433383,0.2310616271035767,0.45833333333333326,0.4073458029807175,0.3803260950202164,0.29598392838199394,0.5365568769880406,0.02257426154116377,0.08277301725649341,0.11623918624433383,0.2310616271035767,0.4533333333333333,0.4073759586655838,0.3799536726514085,0.2958566079080349,0.0025000000000000577,9.433962264151011e-05,-9.433962264150664e-05,0.0,0.0,0.004999999999999949,-3.0155684866306487e-05,0.000372422368807912,0.00012732047395902502,39.897,6.247
nfcorpus,dense,chunk_256,200,0.5334030251883306,0.04401526967841669,0.09836893243329159,0.1377786348725967,0.2608792479272013,0.4333333333333333,0.3780262309752224,0.34948127409807717,0.2928585869816795,0.5342363585216638,0.04401526967841669,0.09840365465551383,0.1377786348725967,0.2608792479272013,0.4333333333333333,0.37890428717327274,0.3496459139687373,0.29293111729744065,-0.0008333333333332416,0.0,-3.472222222224153e-05,0.0,0.0,0.0,-0.0008780561980503143,-0.00016463987066012153,-7.253031576115454e-05,27.309,4.008
nfcorpus,dense,chunk_512,200,0.5402453274096998,0.05077631740243078,0.11860103884892575,0.16570139789709554,0.2917697131258988,0.45,0.37205719782554114,0.34323683007381683,0.29821071923779185,0.5402453274096998,0.05077631740243078,0.11860103884892575,0.16570139789709554,0.2917697131258988,0.45,0.3722792286360297,0.3433809128774394,0.29824177337892677,0.0,0.0,0.0,0.0,0.0,0.0,-0.00022203081048854933,-0.00014408280362254722,-3.1054141134911895e-05,23.23,3.432
nfcorpus,dense,original,200,0.5439268709589768,0.0506751789882926,0.12390348508757,0.16014146707599816,0.29110351680135305,0.44666666666666666,0.372843714004186,0.3447722767742437,0.29905872006496176,0.5439268709589768,0.0506751789882926,0.12390348508757,0.16014146707599816,0.2911996706475069,0.44666666666666666,0.372843714004186,0.3447722767742437,0.2991169592702607,0.0,0.0,0.0,0.0,-9.615384615385691e-05,0.0,0.0,0.0,-5.8239205298959984e-05,22.906,3.614
nfcorpus,hybrid,chunk_128,200,0.5758901913919326,0.03349762033726264,0.10341794209789079,0.12991833397712382,0.23124971741719058,0.5,0.447465330788406,0.40486984042471863,0.3100042881628054,0.5758412372082722,0.03349762033726264,0.10373395941390809,0.13002369796179816,0.23131385354682257,0.5,0.44674755974897096,0.40469696931932136,0.3100002999928198,4.8954183660465667e-05,0.0,-0.00031601731601729743,-0.00010536398467433927,-6.4136129631992e-05,0.0,0.0007177710394350445,0.00017287110539726536,3.988169985591483e-06,41.337,10.13
